Serial No,Category,Name,Specification,Link
339,Cleaning Supplies,Vooki Ecofriendly Tough Lime Scale Hard Water Stain Remover," Spray and Scrub Cleaner for Bathroom,Taps, Faucet, Basins, Showers & Floor Tiles Cleaner- 500 ml (Pack of 2)",https://www.amazon.in/Vooki-Ecofriendly-Descaler-Remover-Bathroom/dp/B09XVJPQKZ/ref=sr_1_46?crid=1OTK9WIRAOY6D&dib=eyJ2IjoiMSJ9.C0Fgfa7AL05aBh-8fB_0E9s706G4aT5HR_gnUcN5fXCJfldc3duVQODdFGNz4ROGyEQTT0wU5iDJc-Nm7AZBeDAHQ0fFeIZ4RtClGZ0oRpIwiVFG37krG-Yt2p2_FJ6NLRo83U1CRp_C-egl7gvmBkFQ74tCllzqwe1Gj4HwxFexFwoq0SynciZteMlptYYdtHuVKsZdptO9RTCHmyOZdPEzwx6unIcGGIDt6YAPgnVX8_eUWzU1J3qnMdISJy4C-E-Dy73N3576XCab1ql6DqEe62B9tI79-45Cg1DrOjE.5yq4a2Pa6NRBp26y9YTb-a8WWZ6j1iT0Td77IQRDQGg&dib_tag=se&keywords=Cleaning+Supplies&qid=1724565400&sprefix=cleani%2Caps%2C281&sr=8-46
340,Cleaning Supplies,Millton Mop Stick & Plate Rod Only Without Bucket with Standing Magic Pocha with Easy Grip Handle for Floor Cleaning Supplies Product for Home, Office,https://www.amazon.in/Mop-Stick-Rod-Standing-Cleaning/dp/B0D5JDVQN4/ref=sr_1_47?crid=1OTK9WIRAOY6D&dib=eyJ2IjoiMSJ9.C0Fgfa7AL05aBh-8fB_0E9s706G4aT5HR_gnUcN5fXCJfldc3duVQODdFGNz4ROGyEQTT0wU5iDJc-Nm7AZBeDAHQ0fFeIZ4RtClGZ0oRpIwiVFG37krG-Yt2p2_FJ6NLRo83U1CRp_C-egl7gvmBkFQ74tCllzqwe1Gj4HwxFexFwoq0SynciZteMlptYYdtHuVKsZdptO9RTCHmyOZdPEzwx6unIcGGIDt6YAPgnVX8_eUWzU1J3qnMdISJy4C-E-Dy73N3576XCab1ql6DqEe62B9tI79-45Cg1DrOjE.5yq4a2Pa6NRBp26y9YTb-a8WWZ6j1iT0Td77IQRDQGg&dib_tag=se&keywords=Cleaning+Supplies&qid=1724565400&sprefix=cleani%2Caps%2C281&sr=8-47
341,Cleaning Supplies,Colin 1 Litre Refill + 500ml Spray," Glass and Surface Cleaner Liquid |India's #1 Glass Cleaner | Glass Cleaner for Car, Kitchen and Home Surfaces | Multi Surface Cleaner",https://www.amazon.in/Colin-Regular-Refill-Trigger-500/dp/B073H8M8H6/ref=sr_1_48?crid=1OTK9WIRAOY6D&dib=eyJ2IjoiMSJ9.C0Fgfa7AL05aBh-8fB_0E9s706G4aT5HR_gnUcN5fXCJfldc3duVQODdFGNz4ROGyEQTT0wU5iDJc-Nm7AZBeDAHQ0fFeIZ4RtClGZ0oRpIwiVFG37krG-Yt2p2_FJ6NLRo83U1CRp_C-egl7gvmBkFQ74tCllzqwe1Gj4HwxFexFwoq0SynciZteMlptYYdtHuVKsZdptO9RTCHmyOZdPEzwx6unIcGGIDt6YAPgnVX8_eUWzU1J3qnMdISJy4C-E-Dy73N3576XCab1ql6DqEe62B9tI79-45Cg1DrOjE.5yq4a2Pa6NRBp26y9YTb-a8WWZ6j1iT0Td77IQRDQGg&dib_tag=se&keywords=Cleaning+Supplies&qid=1724565400&sprefix=cleani%2Caps%2C281&sr=8-48
342,Cleaning Supplies,Cello Kleeno Compacto Spin Mop with 2 Refill | 360 Degree Rotating Mop | Extendable Rods with Handle Lock | Floor Cleaning Mop | Mop with Bucket | Blue,,https://www.amazon.in/Cello-Kleeno-Compacto-Spin-Blue/dp/B07HM4LS9Y/ref=sr_1_49?crid=1OTK9WIRAOY6D&dib=eyJ2IjoiMSJ9.C0Fgfa7AL05aBh-8fB_0E9s706G4aT5HR_gnUcN5fXCJfldc3duVQODdFGNz4ROGyEQTT0wU5iDJc-Nm7AZBeDAHQ0fFeIZ4RtClGZ0oRpIwiVFG37krG-Yt2p2_FJ6NLRo83U1CRp_C-egl7gvmBkFQ74tCllzqwe1Gj4HwxFexFwoq0SynciZteMlptYYdtHuVKsZdptO9RTCHmyOZdPEzwx6unIcGGIDt6YAPgnVX8_eUWzU1J3qnMdISJy4C-E-Dy73N3576XCab1ql6DqEe62B9tI79-45Cg1DrOjE.5yq4a2Pa6NRBp26y9YTb-a8WWZ6j1iT0Td77IQRDQGg&dib_tag=se&keywords=Cleaning+Supplies&qid=1724565400&sprefix=cleani%2Caps%2C281&sr=8-49
343,Cleaning Supplies,Spotzero by Milton Dust Removal Brush General Cleaning Daily Duster | Flexible Bristles | All Purpose Dusting Brush for Carpet," Keyboard, Home, Hotel and Household - Pack of 1 (Aqua Green)",https://www.amazon.in/Spotzero-Milton-General-Cleaning-Duster/dp/B072J29FFC/ref=sr_1_50?crid=1OTK9WIRAOY6D&dib=eyJ2IjoiMSJ9.C0Fgfa7AL05aBh-8fB_0E9s706G4aT5HR_gnUcN5fXCJfldc3duVQODdFGNz4ROGyEQTT0wU5iDJc-Nm7AZBeDAHQ0fFeIZ4RtClGZ0oRpIwiVFG37krG-Yt2p2_FJ6NLRo83U1CRp_C-egl7gvmBkFQ74tCllzqwe1Gj4HwxFexFwoq0SynciZteMlptYYdtHuVKsZdptO9RTCHmyOZdPEzwx6unIcGGIDt6YAPgnVX8_eUWzU1J3qnMdISJy4C-E-Dy73N3576XCab1ql6DqEe62B9tI79-45Cg1DrOjE.5yq4a2Pa6NRBp26y9YTb-a8WWZ6j1iT0Td77IQRDQGg&dib_tag=se&keywords=Cleaning+Supplies&qid=1724565400&sprefix=cleani%2Caps%2C281&sr=8-50
344,Cleaning Supplies,Gala Double Lip Wiper (Multicolour),,https://www.amazon.in/Gala-Double-Lip-Wiper-Multicolour/dp/B01LWQD7WL/ref=sr_1_51?crid=1OTK9WIRAOY6D&dib=eyJ2IjoiMSJ9.C0Fgfa7AL05aBh-8fB_0E9s706G4aT5HR_gnUcN5fXCJfldc3duVQODdFGNz4ROGyEQTT0wU5iDJc-Nm7AZBeDAHQ0fFeIZ4RtClGZ0oRpIwiVFG37krG-Yt2p2_FJ6NLRo83U1CRp_C-egl7gvmBkFQ74tCllzqwe1Gj4HwxFexFwoq0SynciZteMlptYYdtHuVKsZdptO9RTCHmyOZdPEzwx6unIcGGIDt6YAPgnVX8_eUWzU1J3qnMdISJy4C-E-Dy73N3576XCab1ql6DqEe62B9tI79-45Cg1DrOjE.5yq4a2Pa6NRBp26y9YTb-a8WWZ6j1iT0Td77IQRDQGg&dib_tag=se&keywords=Cleaning+Supplies&qid=1724565400&sprefix=cleani%2Caps%2C281&sr=8-51
345,Cleaning Supplies,Zureni Kitchen Platform & Glass Squeegee Wiper All-Purpose Cleaning Windows Car Windshield Bathroom Mirrors Table Cleaner (Set of 2, Random Colours),https://www.amazon.in/Zureni-All-Purpose-Squeegee-Portable-Windshield/dp/B098D4K6W5/ref=sr_1_52?crid=1OTK9WIRAOY6D&dib=eyJ2IjoiMSJ9.C0Fgfa7AL05aBh-8fB_0E9s706G4aT5HR_gnUcN5fXCJfldc3duVQODdFGNz4ROGyEQTT0wU5iDJc-Nm7AZBeDAHQ0fFeIZ4RtClGZ0oRpIwiVFG37krG-Yt2p2_FJ6NLRo83U1CRp_C-egl7gvmBkFQ74tCllzqwe1Gj4HwxFexFwoq0SynciZteMlptYYdtHuVKsZdptO9RTCHmyOZdPEzwx6unIcGGIDt6YAPgnVX8_eUWzU1J3qnMdISJy4C-E-Dy73N3576XCab1ql6DqEe62B9tI79-45Cg1DrOjE.5yq4a2Pa6NRBp26y9YTb-a8WWZ6j1iT0Td77IQRDQGg&dib_tag=se&keywords=Cleaning+Supplies&qid=1724565400&sprefix=cleani%2Caps%2C281&sr=8-52
346,Cleaning Supplies,Amazon Brand - Presto! Disinfectant Surface & Floor Cleaner," (Lavender) - 2 Ltr | Kills 99.9% Germs | Suitable for Bathroom & Floor surfaces like ceramic, marble, granite, mosaic etc.",https://www.amazon.in/Amazon-Brand-Disinfectant-Cleaner-Lavender/dp/B0755CG1LW/ref=sr_1_53?crid=1OTK9WIRAOY6D&dib=eyJ2IjoiMSJ9.C0Fgfa7AL05aBh-8fB_0E9s706G4aT5HR_gnUcN5fXCJfldc3duVQODdFGNz4ROGyEQTT0wU5iDJc-Nm7AZBeDAHQ0fFeIZ4RtClGZ0oRpIwiVFG37krG-Yt2p2_FJ6NLRo83U1CRp_C-egl7gvmBkFQ74tCllzqwe1Gj4HwxFexFwoq0SynciZteMlptYYdtHuVKsZdptO9RTCHmyOZdPEzwx6unIcGGIDt6YAPgnVX8_eUWzU1J3qnMdISJy4C-E-Dy73N3576XCab1ql6DqEe62B9tI79-45Cg1DrOjE.5yq4a2Pa6NRBp26y9YTb-a8WWZ6j1iT0Td77IQRDQGg&dib_tag=se&keywords=Cleaning+Supplies&qid=1724565400&sprefix=cleani%2Caps%2C281&sr=8-53
347,Cleaning Supplies,Sounce 7 in 1 Electronic Cleaner Kit," Keyboard Cleaner Kit with Brush, 3 in 1 Cleaning Pen for AirPods Pro, Multifunctional Cleaning Kit for Earphone, Keyboard, Laptop, Phone, PC Monitor (Grey)",https://www.amazon.in/Sounce-Electronic-Keyboard-Cleaning-Multifunctional/dp/B0BRXZ3FYF/ref=sr_1_54?crid=1OTK9WIRAOY6D&dib=eyJ2IjoiMSJ9.C0Fgfa7AL05aBh-8fB_0E9s706G4aT5HR_gnUcN5fXCJfldc3duVQODdFGNz4ROGyEQTT0wU5iDJc-Nm7AZBeDAHQ0fFeIZ4RtClGZ0oRpIwiVFG37krG-Yt2p2_FJ6NLRo83U1CRp_C-egl7gvmBkFQ74tCllzqwe1Gj4HwxFexFwoq0SynciZteMlptYYdtHuVKsZdptO9RTCHmyOZdPEzwx6unIcGGIDt6YAPgnVX8_eUWzU1J3qnMdISJy4C-E-Dy73N3576XCab1ql6DqEe62B9tI79-45Cg1DrOjE.5yq4a2Pa6NRBp26y9YTb-a8WWZ6j1iT0Td77IQRDQGg&dib_tag=se&keywords=Cleaning+Supplies&qid=1724565400&sprefix=cleani%2Caps%2C281&sr=8-54
348,Cleaning Supplies,CLUZE Microfiber Cleaning Cloth," Kitchen Towels, Double-Sided Microfiber Towel Lint Free Highly Absorbent Multi-Purpose Dust and Dirty Cleaning Supplies for Kitchen Car Cleaning",https://www.amazon.in/Microfiber-Cleaning-Double-Sided-Absorbent-Multi-Purpose/dp/B0BFB493HS/ref=sr_1_55?crid=1OTK9WIRAOY6D&dib=eyJ2IjoiMSJ9.C0Fgfa7AL05aBh-8fB_0E9s706G4aT5HR_gnUcN5fXCJfldc3duVQODdFGNz4ROGyEQTT0wU5iDJc-Nm7AZBeDAHQ0fFeIZ4RtClGZ0oRpIwiVFG37krG-Yt2p2_FJ6NLRo83U1CRp_C-egl7gvmBkFQ74tCllzqwe1Gj4HwxFexFwoq0SynciZteMlptYYdtHuVKsZdptO9RTCHmyOZdPEzwx6unIcGGIDt6YAPgnVX8_eUWzU1J3qnMdISJy4C-E-Dy73N3576XCab1ql6DqEe62B9tI79-45Cg1DrOjE.5yq4a2Pa6NRBp26y9YTb-a8WWZ6j1iT0Td77IQRDQGg&dib_tag=se&keywords=Cleaning+Supplies&qid=1724565400&sprefix=cleani%2Caps%2C281&sr=8-55
349,Cleaning Supplies,Gala No Dust Floor Broom XL (Modular,1 Piece),https://www.amazon.in/Gala-Modular-Cleaning-Saving-Multipurpose/dp/B081QG2SL1/ref=sr_1_56?crid=1OTK9WIRAOY6D&dib=eyJ2IjoiMSJ9.C0Fgfa7AL05aBh-8fB_0E9s706G4aT5HR_gnUcN5fXCJfldc3duVQODdFGNz4ROGyEQTT0wU5iDJc-Nm7AZBeDAHQ0fFeIZ4RtClGZ0oRpIwiVFG37krG-Yt2p2_FJ6NLRo83U1CRp_C-egl7gvmBkFQ74tCllzqwe1Gj4HwxFexFwoq0SynciZteMlptYYdtHuVKsZdptO9RTCHmyOZdPEzwx6unIcGGIDt6YAPgnVX8_eUWzU1J3qnMdISJy4C-E-Dy73N3576XCab1ql6DqEe62B9tI79-45Cg1DrOjE.5yq4a2Pa6NRBp26y9YTb-a8WWZ6j1iT0Td77IQRDQGg&dib_tag=se&keywords=Cleaning+Supplies&qid=1724565400&sprefix=cleani%2Caps%2C281&sr=8-56
350,Cleaning Supplies,Vooki Ecofriendly Tough Lime Scale Hard Water Stain Remover," Spray and Scrub Cleaner for Bathroom,Taps, Faucet, Basins, Showers & Floor Tiles Cleaner- 500 ml (Pack of 2)",https://aax-eu.amazon.in/x/c/JJlZ7hKJBPHwumi1ZLNOY6UAAAGRiButKQMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICA_fBWT/https://www.amazon.in/Vooki-Ecofriendly-Descaler-Remover-Bathroom/dp/B09XVJPQKZ/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.a2bbbb64-48b4-4667-bc8e-161434209626%3Aamzn1.sym.a2bbbb64-48b4-4667-bc8e-161434209626&crid=1OTK9WIRAOY6D&cv_ct_cx=Cleaning+Supplies&dib=eyJ2IjoiMSJ9.qmb6eZSxHJW3bg3qrRuI3Q.aCPun4wi1Gg973foZzqLrhicEuWhkBPS3Tea3UzpPLs&dib_tag=se&keywords=Cleaning+Supplies&pd_rd_i=B09XVJPQKZ&pd_rd_r=6af27fb5-d02e-4acb-8bf8-4eab84cecc81&pd_rd_w=S6ycg&pd_rd_wg=BBWY8&pf_rd_p=a2bbbb64-48b4-4667-bc8e-161434209626&pf_rd_r=GTPJ1K2PYA7W2H3M23FR&qid=1724565400&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=cleani%2Caps%2C281&sr=1-1-b76bd6d9-c111-4fc7-b5ef-aec7efc3d41e
351,Cleaning Supplies,Harpic 1 Litre (Pack of 2) - Original, Disinfectant Toilet Cleaner Liquid | Suitable for Toilet Bowls,https://www.amazon.in/Harpic-Original-Powerplus-Pack/dp/B016D3J92M/ref=sr_1_53?dib=eyJ2IjoiMSJ9.07wH8-RK8I9n0M7mMhAjRV3IceKUdI2QakOBKt36Czk4XLs6jcK4p6GZCUtr2_hXmK0iIwIsTLbvDyd2yG6YWYyf2YXW5E7zfcxJI-gH_ATHt8KP30PzRLRLX-L0EjfMul7YF5q8ur_vAOqu8aaMtTVcbjeEL6k5aMIr2Q0rmtVCDXTskeK6fWKAVZSEqjjZLb5IF0O7qTegZlgQ1FxTXcU8tFqIqbFJodsGXjCS3B_gBUv5LmzAPJgqUxPMuMm8B7n-YupgiMCk9ZGw6pCv96pfY1U8U1RA6vYCgT0vZT4.vLEndIZlVAnRSgm42ACZvmZbad6cGF87QtrUr2iotk0&dib_tag=se&keywords=Cleaning+Supplies&qid=1724565410&sr=8-53
352,Cleaning Supplies,Scotch-Brite Plastic Spin Mop Head and Handle (Suitable for Scotch-Brite 2 in 1 Spin Mop Only),,https://www.amazon.in/Scotch-Brite-Spin-Head-Handle-Suitable/dp/B0BNV1FHVB/ref=sr_1_54?dib=eyJ2IjoiMSJ9.07wH8-RK8I9n0M7mMhAjRV3IceKUdI2QakOBKt36Czk4XLs6jcK4p6GZCUtr2_hXmK0iIwIsTLbvDyd2yG6YWYyf2YXW5E7zfcxJI-gH_ATHt8KP30PzRLRLX-L0EjfMul7YF5q8ur_vAOqu8aaMtTVcbjeEL6k5aMIr2Q0rmtVCDXTskeK6fWKAVZSEqjjZLb5IF0O7qTegZlgQ1FxTXcU8tFqIqbFJodsGXjCS3B_gBUv5LmzAPJgqUxPMuMm8B7n-YupgiMCk9ZGw6pCv96pfY1U8U1RA6vYCgT0vZT4.vLEndIZlVAnRSgm42ACZvmZbad6cGF87QtrUr2iotk0&dib_tag=se&keywords=Cleaning+Supplies&qid=1724565410&sr=8-54
353,Cleaning Supplies,VALITUDO® Microfiber Long Feather Duster- Bendable & Detachable Fan Cleaning Duster with 100 inches Expandable Pole Handle," Washable, Stainless Steel Handle for Ceiling, Wall, Window Blinds, Furniture",https://www.amazon.in/VALITUDO%C2%AE-Microfiber-Detachable-Expandable-Stainless/dp/B0CWLD3R5Z/ref=sr_1_55?dib=eyJ2IjoiMSJ9.07wH8-RK8I9n0M7mMhAjRV3IceKUdI2QakOBKt36Czk4XLs6jcK4p6GZCUtr2_hXmK0iIwIsTLbvDyd2yG6YWYyf2YXW5E7zfcxJI-gH_ATHt8KP30PzRLRLX-L0EjfMul7YF5q8ur_vAOqu8aaMtTVcbjeEL6k5aMIr2Q0rmtVCDXTskeK6fWKAVZSEqjjZLb5IF0O7qTegZlgQ1FxTXcU8tFqIqbFJodsGXjCS3B_gBUv5LmzAPJgqUxPMuMm8B7n-YupgiMCk9ZGw6pCv96pfY1U8U1RA6vYCgT0vZT4.vLEndIZlVAnRSgm42ACZvmZbad6cGF87QtrUr2iotk0&dib_tag=se&keywords=Cleaning+Supplies&qid=1724565410&sr=8-55
354,Cleaning Supplies,Vim Dishwash Liquid 3.2L | Removes 100+ Odours & Grease in 1 wash,,https://www.amazon.in/Dishwash-Liquid-Removes-Odours-Grease/dp/B0D8HW8SZ7/ref=sr_1_56?dib=eyJ2IjoiMSJ9.07wH8-RK8I9n0M7mMhAjRV3IceKUdI2QakOBKt36Czk4XLs6jcK4p6GZCUtr2_hXmK0iIwIsTLbvDyd2yG6YWYyf2YXW5E7zfcxJI-gH_ATHt8KP30PzRLRLX-L0EjfMul7YF5q8ur_vAOqu8aaMtTVcbjeEL6k5aMIr2Q0rmtVCDXTskeK6fWKAVZSEqjjZLb5IF0O7qTegZlgQ1FxTXcU8tFqIqbFJodsGXjCS3B_gBUv5LmzAPJgqUxPMuMm8B7n-YupgiMCk9ZGw6pCv96pfY1U8U1RA6vYCgT0vZT4.vLEndIZlVAnRSgm42ACZvmZbad6cGF87QtrUr2iotk0&dib_tag=se&keywords=Cleaning+Supplies&qid=1724565410&sr=8-56
355,Cleaning Supplies,Mr. Muscle Kitchen Cleaner - 450 ml,,https://www.amazon.in/Mr-Muscle-Kitchen-Cleaner-500/dp/B011972YC4/ref=sr_1_57?dib=eyJ2IjoiMSJ9.07wH8-RK8I9n0M7mMhAjRV3IceKUdI2QakOBKt36Czk4XLs6jcK4p6GZCUtr2_hXmK0iIwIsTLbvDyd2yG6YWYyf2YXW5E7zfcxJI-gH_ATHt8KP30PzRLRLX-L0EjfMul7YF5q8ur_vAOqu8aaMtTVcbjeEL6k5aMIr2Q0rmtVCDXTskeK6fWKAVZSEqjjZLb5IF0O7qTegZlgQ1FxTXcU8tFqIqbFJodsGXjCS3B_gBUv5LmzAPJgqUxPMuMm8B7n-YupgiMCk9ZGw6pCv96pfY1U8U1RA6vYCgT0vZT4.vLEndIZlVAnRSgm42ACZvmZbad6cGF87QtrUr2iotk0&dib_tag=se&keywords=Cleaning+Supplies&qid=1724565410&sr=8-57
356,Cleaning Supplies,OXIOV Microfiber Feather Ceiling Duster with Extendable Pole," 30-100 Inches, Anti-Scratch Bendable Head for Cleaning High Cobwebs",https://www.amazon.in/OXIOV-Microfiber-Extendable-Anti-Scratch-Bendable/dp/B0CY9KWVTY/ref=sr_1_58?dib=eyJ2IjoiMSJ9.07wH8-RK8I9n0M7mMhAjRV3IceKUdI2QakOBKt36Czk4XLs6jcK4p6GZCUtr2_hXmK0iIwIsTLbvDyd2yG6YWYyf2YXW5E7zfcxJI-gH_ATHt8KP30PzRLRLX-L0EjfMul7YF5q8ur_vAOqu8aaMtTVcbjeEL6k5aMIr2Q0rmtVCDXTskeK6fWKAVZSEqjjZLb5IF0O7qTegZlgQ1FxTXcU8tFqIqbFJodsGXjCS3B_gBUv5LmzAPJgqUxPMuMm8B7n-YupgiMCk9ZGw6pCv96pfY1U8U1RA6vYCgT0vZT4.vLEndIZlVAnRSgm42ACZvmZbad6cGF87QtrUr2iotk0&dib_tag=se&keywords=Cleaning+Supplies&qid=1724565410&sr=8-58
357,Cleaning Supplies,FEEDFIRE Microfiber Flexible Feather Duster Bendable & Extendable Fan Cleaning Duster with 30-100 inches Expandable Pole Handle Washable Duster for High Ceiling Fans," Window Blinds, Furniture",https://www.amazon.in/FEEDFIRE-Microfiber-Extendable-Expandable-Furniture/dp/B0BX8ZR4H5/ref=sr_1_59?dib=eyJ2IjoiMSJ9.07wH8-RK8I9n0M7mMhAjRV3IceKUdI2QakOBKt36Czk4XLs6jcK4p6GZCUtr2_hXmK0iIwIsTLbvDyd2yG6YWYyf2YXW5E7zfcxJI-gH_ATHt8KP30PzRLRLX-L0EjfMul7YF5q8ur_vAOqu8aaMtTVcbjeEL6k5aMIr2Q0rmtVCDXTskeK6fWKAVZSEqjjZLb5IF0O7qTegZlgQ1FxTXcU8tFqIqbFJodsGXjCS3B_gBUv5LmzAPJgqUxPMuMm8B7n-YupgiMCk9ZGw6pCv96pfY1U8U1RA6vYCgT0vZT4.vLEndIZlVAnRSgm42ACZvmZbad6cGF87QtrUr2iotk0&dib_tag=se&keywords=Cleaning+Supplies&qid=1724565410&sr=8-59
358,Cleaning Supplies,Scotch-Brite Plastic Kitchen Wiper,,https://www.amazon.in/Scotch-Brite-Plastic-Kitchen-Wiper-Grey/dp/B07DWKC8TB/ref=sr_1_60?dib=eyJ2IjoiMSJ9.07wH8-RK8I9n0M7mMhAjRV3IceKUdI2QakOBKt36Czk4XLs6jcK4p6GZCUtr2_hXmK0iIwIsTLbvDyd2yG6YWYyf2YXW5E7zfcxJI-gH_ATHt8KP30PzRLRLX-L0EjfMul7YF5q8ur_vAOqu8aaMtTVcbjeEL6k5aMIr2Q0rmtVCDXTskeK6fWKAVZSEqjjZLb5IF0O7qTegZlgQ1FxTXcU8tFqIqbFJodsGXjCS3B_gBUv5LmzAPJgqUxPMuMm8B7n-YupgiMCk9ZGw6pCv96pfY1U8U1RA6vYCgT0vZT4.vLEndIZlVAnRSgm42ACZvmZbad6cGF87QtrUr2iotk0&dib_tag=se&keywords=Cleaning+Supplies&qid=1724565410&sr=8-60
359,Cleaning Supplies,Bosch Home and Garden Electric Cleaning Brush UniversalBrush (3.6 V Integrated Battery," 1 Micro-USB Cable and 4 Cleaning attachments Included, in Carton Packaging)",https://www.amazon.in/Bosch-UniversalBrush-Integrated-Micro-USB-attachments/dp/B08VMRR821/ref=sr_1_61?dib=eyJ2IjoiMSJ9.07wH8-RK8I9n0M7mMhAjRV3IceKUdI2QakOBKt36Czk4XLs6jcK4p6GZCUtr2_hXmK0iIwIsTLbvDyd2yG6YWYyf2YXW5E7zfcxJI-gH_ATHt8KP30PzRLRLX-L0EjfMul7YF5q8ur_vAOqu8aaMtTVcbjeEL6k5aMIr2Q0rmtVCDXTskeK6fWKAVZSEqjjZLb5IF0O7qTegZlgQ1FxTXcU8tFqIqbFJodsGXjCS3B_gBUv5LmzAPJgqUxPMuMm8B7n-YupgiMCk9ZGw6pCv96pfY1U8U1RA6vYCgT0vZT4.vLEndIZlVAnRSgm42ACZvmZbad6cGF87QtrUr2iotk0&dib_tag=se&keywords=Cleaning+Supplies&qid=1724565410&sr=8-61
360,Cleaning Supplies,Sparkmate By Crystal Kharata/Plastic Stick Broom/Jhadu for Home and Bathroom Cleaning," Assorted, Hard Floor",https://www.amazon.in/Sparkmate-Crystal-Kharata-Bathroom-Cleaning/dp/B0BC7LL8DJ/ref=sr_1_62?dib=eyJ2IjoiMSJ9.07wH8-RK8I9n0M7mMhAjRV3IceKUdI2QakOBKt36Czk4XLs6jcK4p6GZCUtr2_hXmK0iIwIsTLbvDyd2yG6YWYyf2YXW5E7zfcxJI-gH_ATHt8KP30PzRLRLX-L0EjfMul7YF5q8ur_vAOqu8aaMtTVcbjeEL6k5aMIr2Q0rmtVCDXTskeK6fWKAVZSEqjjZLb5IF0O7qTegZlgQ1FxTXcU8tFqIqbFJodsGXjCS3B_gBUv5LmzAPJgqUxPMuMm8B7n-YupgiMCk9ZGw6pCv96pfY1U8U1RA6vYCgT0vZT4.vLEndIZlVAnRSgm42ACZvmZbad6cGF87QtrUr2iotk0&dib_tag=se&keywords=Cleaning+Supplies&qid=1724565410&sr=8-62
361,Cleaning Supplies,HUSB® Gloves Magic Silicone Dish Washing Gloves," Silicon Cleaning Gloves, Silicon Hand Gloves for Kitchen Dishwashing and Pet Grooming, Great for Washing Dish, Car, Bathroom (Multicolour, 1 Pair)",https://www.amazon.in/HUSB-Silicone-Cleaning-Dishwashing-Multicolour/dp/B092J6Q41C/ref=sr_1_63?dib=eyJ2IjoiMSJ9.07wH8-RK8I9n0M7mMhAjRV3IceKUdI2QakOBKt36Czk4XLs6jcK4p6GZCUtr2_hXmK0iIwIsTLbvDyd2yG6YWYyf2YXW5E7zfcxJI-gH_ATHt8KP30PzRLRLX-L0EjfMul7YF5q8ur_vAOqu8aaMtTVcbjeEL6k5aMIr2Q0rmtVCDXTskeK6fWKAVZSEqjjZLb5IF0O7qTegZlgQ1FxTXcU8tFqIqbFJodsGXjCS3B_gBUv5LmzAPJgqUxPMuMm8B7n-YupgiMCk9ZGw6pCv96pfY1U8U1RA6vYCgT0vZT4.vLEndIZlVAnRSgm42ACZvmZbad6cGF87QtrUr2iotk0&dib_tag=se&keywords=Cleaning+Supplies&qid=1724565410&sr=8-63
362,Cleaning Supplies,ARCK Special 360° Rotatable Adjustable Triangle Cleaning Mop with Stainless Steel Long Handle Push-Pull Squeezing Cleaning Mop Dry & Wet Mop Floor Windows Ceiling (Multicolor),,https://www.amazon.in/ARCK-Rotatable-Adjustable-Stainless-Multicolor/dp/B0CKFJB769/ref=sr_1_64?dib=eyJ2IjoiMSJ9.07wH8-RK8I9n0M7mMhAjRV3IceKUdI2QakOBKt36Czk4XLs6jcK4p6GZCUtr2_hXmK0iIwIsTLbvDyd2yG6YWYyf2YXW5E7zfcxJI-gH_ATHt8KP30PzRLRLX-L0EjfMul7YF5q8ur_vAOqu8aaMtTVcbjeEL6k5aMIr2Q0rmtVCDXTskeK6fWKAVZSEqjjZLb5IF0O7qTegZlgQ1FxTXcU8tFqIqbFJodsGXjCS3B_gBUv5LmzAPJgqUxPMuMm8B7n-YupgiMCk9ZGw6pCv96pfY1U8U1RA6vYCgT0vZT4.vLEndIZlVAnRSgm42ACZvmZbad6cGF87QtrUr2iotk0&dib_tag=se&keywords=Cleaning+Supplies&qid=1724565410&sr=8-64
363,Cleaning Supplies,Wire Washing Cloth," Multipurpose Wire Dishwashing Rag, Non-Scratch Wire Dishcloth Scrubbing Wire Cleaning for Wet and Dry, Reusable Wire Dishwashing Rag for Household Supplies, Kitchen (6 Pcs)",https://www.amazon.in/Multipurpose-Dishwashing-Non-Scratch-Dishcloth-Scrubbing/dp/B0D7J1WVY6/ref=sr_1_65?dib=eyJ2IjoiMSJ9.07wH8-RK8I9n0M7mMhAjRV3IceKUdI2QakOBKt36Czk4XLs6jcK4p6GZCUtr2_hXmK0iIwIsTLbvDyd2yG6YWYyf2YXW5E7zfcxJI-gH_ATHt8KP30PzRLRLX-L0EjfMul7YF5q8ur_vAOqu8aaMtTVcbjeEL6k5aMIr2Q0rmtVCDXTskeK6fWKAVZSEqjjZLb5IF0O7qTegZlgQ1FxTXcU8tFqIqbFJodsGXjCS3B_gBUv5LmzAPJgqUxPMuMm8B7n-YupgiMCk9ZGw6pCv96pfY1U8U1RA6vYCgT0vZT4.vLEndIZlVAnRSgm42ACZvmZbad6cGF87QtrUr2iotk0&dib_tag=se&keywords=Cleaning+Supplies&qid=1724565410&sr=8-65
